VFL.US,DELAWARE INVESTMENTS NATIONAL MUNICIPAL INCOME FUND
VGZ.US,VISTA GOLD
VHC.US,VIRNETX HOLDING
VII.US,VICON INDUSTRIES
VISI.US,VOLT INFORMATION SCIENCES
VKI.US,INVESCO ADVANTAGE MUNICIPAL INCOME TRUST II
VMM.US,DELAWARE INVESTMENTS MINNESOTA MUNICIPAL INCOME FUND II
VNRX.US,VOLITIONRX
VSR.US,VERSAR
VTGDF.US,VANTAGE DRILLING
WGA.US,AG&E HOLDINGS
WRN.US,WESTERN COPPER & GOLD
WTT.US,WIRELESS TELECOM GROUP
WYY.US,WIDEPOINT
XPL.US,SOLITARIO EXPLORATION & ROYALTY
XRA.US,EXETER RESOURCE
XXII.US,22ND CENTURY GROUP
YUMA.US,YUMA ENERGY
YUMA_A.US,YUMA ENERGY
