17GK.UK,MEGAFON A
C21.UK,21ST CENTURY TECHNOLOGY
C4XD.UK,C4X DISCOVERY HOLDINGS
CAD.UK,CADOGAN PETROLEUM
CADP.UK,ETFS LONG CAD SHORT USD
CAF.UK,CHINA AFRICA RESOURCES
CAGB.UK,ETFS SHORT CAD LONG GBP
CAKE.UK,PATISSERIE HOLDINGS
CAL.UK,CAPITAL & REGIONAL
CAM.UK,CAMELLIA
CAMB.UK,CAMBRIA AUTOMOBILES
CAMK.UK,CAMKIDS GROUP
CAML.UK,CENTRAL ASIA METALS
CAP.UK,CLEAN AIR POWER
CAPC.UK,CAPITAL & COUNTIES PROPERTIES
CAPD.UK,CAPITAL DRILLING
CAR.UK,CARCLO
CARB.UK,ETFS CARBON
CARD.UK,CARD FACTORY
CARP.UK,ETFS CARBON
CARR.UK,CARR'S GROUP
CAT.UK,CATCO REINSURANCE OPPORTUNITIES FUND
CATC.UK,CATCO REINSURANCE OPPORTUNITIES FUND
CAU.UK,CENTAUR MEDIA
CAY.UK,CHARLES STANLEY GROUP
CAZA.UK,CAZA OIL & GAS
CBG.UK,CLOSE BROTHERS GROUP
CBP.UK,CURTIS BANKS GROUP
CBUY.UK,CLOUDBUY
CCAP.UK,CHARLEMAGNE CAPITAL
CCC.UK,COMPUTACENTER
CCDS.UK,NATIONWIDE BUILDING SOCI
CCE.UK,REDT ENERGY
CCH.UK,COCA-COLA HBC
CCJI.UK,CC JAPAN INCOME & GROWTH TRUST
CCL.UK,CARNIVAL
CCP.UK,CELTIC
CCPE.UK,CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES
CCPG.UK,CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES
CCR.UK,C&C GROUP
CCSL.UK,CHENAVARI CAPITAL SOLUTIONS
CCT.UK,CHARACTER GROUP
CDC.UK,COPPER DEVELOPMENT
CDFF.UK,CARDIFF PROPERTY
CDI.UK,CANDOVER INVESTMENTS
CDOG.UK,CDIALOGUES
CEB.UK,CLEAN ENERGY BRAZIL
CEBB.UK,NATIONWIDE BUILDING SOCIETY
CEPS.UK,CEPS
CEY.UK,CENTAMIN
CFHL.UK,CITYFIBRE INFRASTRUCTURE HOLDINGS
